Mode,Gamma,Curriculum Training,PL-PINN,Vanilla PINN
0,0,0.0047064267535504335,0.00031212078536332444,0.004231383529354599
0,20,0.029660282656550407,4.87043107568752e-05,0.056521348655223846
0,40,0.018887333571910858,2.980144927278161e-05,0.05466314032673836
0,60,0.015167972072958946,9.758552550920285e-06,0.048925988376140594
0,80,0.007051019463688135,9.3133357950137e-06,0.2766587734222412
0,100,0.004266597330570221,9.463707101531327e-06,0.03334813192486763
1,0,0.005289547311344496,0.00029847811564473757,0.010147032918297523
1,20,0.12653841078281403,9.3385751824826e-06,0.10226467996835709
1,40,0.04422253742814064,9.967817277356517e-06,0.3074069321155548
1,60,0.023892663419246674,1.0437468517920934e-05,0.030614854767918587
1,80,0.017399178817868233,2.2111589714768343e-05,0.06582556664943695
1,100,0.01077804621309042,9.921548553393222e-06,0.11312563717365265
2,0,0.01180409091776527,0.00031618302532853646,0.005361516008926198
2,20,0.032141800969839096,9.83353402261855e-06,0.3061297833919525
2,40,0.04873420670628548,9.579529432812706e-06,0.015105846337974072
2,60,0.043817128986120224,1.008867457130691e-05,0.02749546617269516
2,80,0.043214909732341766,9.97640654532006e-06,0.030072834342718124
2,100,0.03624359518289566,9.964611308532767e-06,0.045889418572187424
3,0,0.008972172308962797,0.0003380261016669652,0.01278978177824622
3,20,0.02759079821407795,9.968282938643824e-06,7.1945085525512695
3,40,0.0449337437748909,9.963331649487372e-06,4.2832560539245605
3,60,0.05088922008872032,9.855618372967001e-06,0.1492774337530136
3,80,0.03809496387839317,1.0498335541342385e-05,0.16929440200328827
3,100,0.023425117135047913,9.99691110337153e-06,0.08342069387435913
4,0,0.03426815930628899,0.00039834958527038645,0.007447358588782448
4,20,0.27556294202804565,9.815149496716913e-06,7.277737140655518
4,40,0.29800841212272644,9.555784345138818e-06,0.018609391525387764
4,60,0.06174570322036743,1.0324658433091827e-05,7.409023761749268
4,80,0.061081770807504654,1.1653405636025127e-05,6.713377475738525
4,100,0.056919410824775696,9.794327525014523e-06,0.02566836215555668
5,0,0.11804766590586871,0.00042128765141858136,0.16411661298016655
5,20,0.0558670349419117,9.934453373716678e-06,0.004469144623726606
5,40,0.027447473257780075,9.806152775126975e-06,0.021070199087262154
5,60,0.029813367873430252,9.802475688047707e-06,6.899600982666016
5,80,0.02305697835981846,1.0103985005116556e-05,6.974896430969238
5,100,0.016313280910253525,1.0565444426902104e-05,0.009499027393758297
